"unit","sector","na_item","geo","year","value"
"PC_GDP","S13","TE","AT",2008,50.4
"PC_GDP","S13","TE","AT",2009,54.6
"PC_GDP","S13","TE","AT",2010,53.4
"PC_GDP","S13","TE","AT",2011,51.3
"PC_GDP","S13","TE","AT",2012,51.8
"PC_GDP","S13","TE","AT",2013,52.4
"PC_GDP","S13","TE","AT",2014,52.4
"PC_GDP","S13","TE","AT",2015,51.2
"PC_GDP","S13","TE","AT",2016,50.6
"PC_GDP","S13","TE","AT",2017,49.8
"PC_GDP","S13","TE","AT",2018,49.2
"PC_GDP","S13","TE","AT",2019,49.1
"PC_GDP","S13","TE","AT",2020,57.3
"PC_GDP","S13","TE","AT",2021,56
"PC_GDP","S13","TE","AT",2022,53
"PC_GDP","S13","TE","AT",2023,52.3
"PC_GDP","S13","TE","AT",2024,55.3
"PC_GDP","S13","TE","AT",2025,55.2
"PC_GDP","S13","TE","BG",2008,37.1
"PC_GDP","S13","TE","BG",2009,39.3
"PC_GDP","S13","TE","BG",2010,36.1
"PC_GDP","S13","TE","BG",2011,33.7
"PC_GDP","S13","TE","BG",2012,34.3
"PC_GDP","S13","TE","BG",2013,37.8
"PC_GDP","S13","TE","BG",2014,43.2
"PC_GDP","S13","TE","BG",2015,40.4
"PC_GDP","S13","TE","BG",2016,34.8
"PC_GDP","S13","TE","BG",2017,34.8
"PC_GDP","S13","TE","BG",2018,37.1
"PC_GDP","S13","TE","BG",2019,36.5
"PC_GDP","S13","TE","BG",2020,41.4
"PC_GDP","S13","TE","BG",2021,41.5
"PC_GDP","S13","TE","BG",2022,41.3
"PC_GDP","S13","TE","BG",2023,38.9
"PC_GDP","S13","TE","BG",2024,39.2
"PC_GDP","S13","TE","BG",2025,41.7
"PC_GDP","S13","TE","CZ",2008,40.9
"PC_GDP","S13","TE","CZ",2009,44.5
"PC_GDP","S13","TE","CZ",2010,43.2
"PC_GDP","S13","TE","CZ",2011,42.8
"PC_GDP","S13","TE","CZ",2012,44.4
"PC_GDP","S13","TE","CZ",2013,42.4
"PC_GDP","S13","TE","CZ",2014,42.3
"PC_GDP","S13","TE","CZ",2015,41.7
"PC_GDP","S13","TE","CZ",2016,39.4
"PC_GDP","S13","TE","CZ",2017,38.5
"PC_GDP","S13","TE","CZ",2018,40.1
"PC_GDP","S13","TE","CZ",2019,40.4
"PC_GDP","S13","TE","CZ",2020,46.3
"PC_GDP","S13","TE","CZ",2021,45
"PC_GDP","S13","TE","CZ",2022,43.2
"PC_GDP","S13","TE","CZ",2023,44
"PC_GDP","S13","TE","CZ",2024,43.2
"PC_GDP","S13","TE","CZ",2025,43.2
"PC_GDP","S13","TE","DE",2008,44.4
"PC_GDP","S13","TE","DE",2009,48.3
"PC_GDP","S13","TE","DE",2010,48.1
"PC_GDP","S13","TE","DE",2011,45.3
"PC_GDP","S13","TE","DE",2012,45.1
"PC_GDP","S13","TE","DE",2013,45.2
"PC_GDP","S13","TE","DE",2014,44.5
"PC_GDP","S13","TE","DE",2015,44.5
"PC_GDP","S13","TE","DE",2016,44.7
"PC_GDP","S13","TE","DE",2017,44.5
"PC_GDP","S13","TE","DE",2018,44.7
"PC_GDP","S13","TE","DE",2019,45.5
"PC_GDP","S13","TE","DE",2020,51.1
"PC_GDP","S13","TE","DE",2021,50.7
"PC_GDP","S13","TE","DE",2022,48.6
"PC_GDP","S13","TE","DE",2023,48.1
"PC_GDP","S13","TE","DE",2024,49.4
"PC_GDP","S13","TE","DE",2025,50.5
"PC_GDP","S13","TE","DK",2008,50.3
"PC_GDP","S13","TE","DK",2009,56.3
"PC_GDP","S13","TE","DK",2010,56.5
"PC_GDP","S13","TE","DK",2011,56.3
"PC_GDP","S13","TE","DK",2012,57.9
"PC_GDP","S13","TE","DK",2013,55.6
"PC_GDP","S13","TE","DK",2014,55.1
"PC_GDP","S13","TE","DK",2015,54.4
"PC_GDP","S13","TE","DK",2016,52.4
"PC_GDP","S13","TE","DK",2017,50.6
"PC_GDP","S13","TE","DK",2018,50.8
"PC_GDP","S13","TE","DK",2019,49.8
"PC_GDP","S13","TE","DK",2020,53.3
"PC_GDP","S13","TE","DK",2021,49.7
"PC_GDP","S13","TE","DK",2022,45.1
"PC_GDP","S13","TE","DK",2023,47.4
"PC_GDP","S13","TE","DK",2024,47.3
"PC_GDP","S13","TE","DK",2025,48
"PC_GDP","S13","TE","ES",2008,41.3
"PC_GDP","S13","TE","ES",2009,46.1
"PC_GDP","S13","TE","ES",2010,45.8
"PC_GDP","S13","TE","ES",2011,45.9
"PC_GDP","S13","TE","ES",2012,49.2
"PC_GDP","S13","TE","ES",2013,46.2
"PC_GDP","S13","TE","ES",2014,45
"PC_GDP","S13","TE","ES",2015,43.7
"PC_GDP","S13","TE","ES",2016,42.1
"PC_GDP","S13","TE","ES",2017,41
"PC_GDP","S13","TE","ES",2018,41.5
"PC_GDP","S13","TE","ES",2019,42
"PC_GDP","S13","TE","ES",2020,51.4
"PC_GDP","S13","TE","ES",2021,49.5
"PC_GDP","S13","TE","ES",2022,46.3
"PC_GDP","S13","TE","ES",2023,45.4
"PC_GDP","S13","TE","ES",2024,45.5
"PC_GDP","S13","TE","ES",2025,45.3
"PC_GDP","S13","TE","EU27_2020",2008,47
"PC_GDP","S13","TE","EU27_2020",2009,50.9
"PC_GDP","S13","TE","EU27_2020",2010,50.7
"PC_GDP","S13","TE","EU27_2020",2011,49.3
"PC_GDP","S13","TE","EU27_2020",2012,50
"PC_GDP","S13","TE","EU27_2020",2013,50
"PC_GDP","S13","TE","EU27_2020",2014,49.3
"PC_GDP","S13","TE","EU27_2020",2015,48.3
"PC_GDP","S13","TE","EU27_2020",2016,47.5
"PC_GDP","S13","TE","EU27_2020",2017,47
"PC_GDP","S13","TE","EU27_2020",2018,46.7
"PC_GDP","S13","TE","EU27_2020",2019,46.6
"PC_GDP","S13","TE","EU27_2020",2020,52.9
"PC_GDP","S13","TE","EU27_2020",2021,51.2
"PC_GDP","S13","TE","EU27_2020",2022,49.2
"PC_GDP","S13","TE","EU27_2020",2023,48.9
"PC_GDP","S13","TE","EU27_2020",2024,49.1
"PC_GDP","S13","TE","EU27_2020",2025,49.5
"PC_GDP","S13","TE","FR",2008,54.3
"PC_GDP","S13","TE","FR",2009,58
"PC_GDP","S13","TE","FR",2010,57.7
"PC_GDP","S13","TE","FR",2011,57
"PC_GDP","S13","TE","FR",2012,57.9
"PC_GDP","S13","TE","FR",2013,58.6
"PC_GDP","S13","TE","FR",2014,58.4
"PC_GDP","S13","TE","FR",2015,57.6
"PC_GDP","S13","TE","FR",2016,57.4
"PC_GDP","S13","TE","FR",2017,57.7
"PC_GDP","S13","TE","FR",2018,56.4
"PC_GDP","S13","TE","FR",2019,55.3
"PC_GDP","S13","TE","FR",2020,61.7
"PC_GDP","S13","TE","FR",2021,59.5
"PC_GDP","S13","TE","FR",2022,58.4
"PC_GDP","S13","TE","FR",2023,56.8
"PC_GDP","S13","TE","FR",2024,57
"PC_GDP","S13","TE","FR",2025,57.2
"PC_GDP","S13","TE","HR",2008,46.3
"PC_GDP","S13","TE","HR",2009,49.3
"PC_GDP","S13","TE","HR",2010,48.2
"PC_GDP","S13","TE","HR",2011,48.6
"PC_GDP","S13","TE","HR",2012,47.3
"PC_GDP","S13","TE","HR",2013,48
"PC_GDP","S13","TE","HR",2014,48.7
"PC_GDP","S13","TE","HR",2015,47.6
"PC_GDP","S13","TE","HR",2016,45.9
"PC_GDP","S13","TE","HR",2017,44.3
"PC_GDP","S13","TE","HR",2018,45.2
"PC_GDP","S13","TE","HR",2019,46.4
"PC_GDP","S13","TE","HR",2020,53.8
"PC_GDP","S13","TE","HR",2021,48.2
"PC_GDP","S13","TE","HR",2022,45.1
"PC_GDP","S13","TE","HR",2023,46.6
"PC_GDP","S13","TE","HR",2024,48.4
"PC_GDP","S13","TE","HR",2025,50.1
"PC_GDP","S13","TE","HU",2008,48.8
"PC_GDP","S13","TE","HU",2009,50.7
"PC_GDP","S13","TE","HU",2010,48.9
"PC_GDP","S13","TE","HU",2011,49.1
"PC_GDP","S13","TE","HU",2012,49.2
"PC_GDP","S13","TE","HU",2013,50.1
"PC_GDP","S13","TE","HU",2014,50
"PC_GDP","S13","TE","HU",2015,50.4
"PC_GDP","S13","TE","HU",2016,46.7
"PC_GDP","S13","TE","HU",2017,46.6
"PC_GDP","S13","TE","HU",2018,45.9
"PC_GDP","S13","TE","HU",2019,45.8
"PC_GDP","S13","TE","HU",2020,51
"PC_GDP","S13","TE","HU",2021,48.1
"PC_GDP","S13","TE","HU",2022,49.1
"PC_GDP","S13","TE","HU",2023,49.7
"PC_GDP","S13","TE","HU",2024,47.3
"PC_GDP","S13","TE","HU",2025,47.3
"PC_GDP","S13","TE","IT",2008,47.8
"PC_GDP","S13","TE","IT",2009,51.1
"PC_GDP","S13","TE","IT",2010,49.8
"PC_GDP","S13","TE","IT",2011,49
"PC_GDP","S13","TE","IT",2012,50.5
"PC_GDP","S13","TE","IT",2013,50.9
"PC_GDP","S13","TE","IT",2014,50.7
"PC_GDP","S13","TE","IT",2015,50.2
"PC_GDP","S13","TE","IT",2016,49
"PC_GDP","S13","TE","IT",2017,48.8
"PC_GDP","S13","TE","IT",2018,48.3
"PC_GDP","S13","TE","IT",2019,48.4
"PC_GDP","S13","TE","IT",2020,56.8
"PC_GDP","S13","TE","IT",2021,56
"PC_GDP","S13","TE","IT",2022,54.9
"PC_GDP","S13","TE","IT",2023,53.6
"PC_GDP","S13","TE","IT",2024,50.4
"PC_GDP","S13","TE","IT",2025,51.2
"PC_GDP","S13","TE","NL",2008,44.3
"PC_GDP","S13","TE","NL",2009,48.4
"PC_GDP","S13","TE","NL",2010,48.9
"PC_GDP","S13","TE","NL",2011,47.8
"PC_GDP","S13","TE","NL",2012,47.6
"PC_GDP","S13","TE","NL",2013,47.5
"PC_GDP","S13","TE","NL",2014,46.7
"PC_GDP","S13","TE","NL",2015,45.3
"PC_GDP","S13","TE","NL",2016,43.9
"PC_GDP","S13","TE","NL",2017,42.8
"PC_GDP","S13","TE","NL",2018,42.4
"PC_GDP","S13","TE","NL",2019,42.1
"PC_GDP","S13","TE","NL",2020,47.8
"PC_GDP","S13","TE","NL",2021,45.9
"PC_GDP","S13","TE","NL",2022,43.3
"PC_GDP","S13","TE","NL",2023,44
"PC_GDP","S13","TE","NL",2024,44.3
"PC_GDP","S13","TE","NL",2025,44.9
"PC_GDP","S13","TE","PL",2008,44
"PC_GDP","S13","TE","PL",2009,44.9
"PC_GDP","S13","TE","PL",2010,46
"PC_GDP","S13","TE","PL",2011,44.1
"PC_GDP","S13","TE","PL",2012,43.2
"PC_GDP","S13","TE","PL",2013,43.2
"PC_GDP","S13","TE","PL",2014,42.7
"PC_GDP","S13","TE","PL",2015,41.5
"PC_GDP","S13","TE","PL",2016,41.1
"PC_GDP","S13","TE","PL",2017,41.1
"PC_GDP","S13","TE","PL",2018,41
"PC_GDP","S13","TE","PL",2019,41.4
"PC_GDP","S13","TE","PL",2020,47.7
"PC_GDP","S13","TE","PL",2021,43.6
"PC_GDP","S13","TE","PL",2022,43.2
"PC_GDP","S13","TE","PL",2023,46.9
"PC_GDP","S13","TE","PL",2024,49.2
"PC_GDP","S13","TE","PL",2025,50.9
"PC_GDP","S13","TE","RO",2008,37.7
"PC_GDP","S13","TE","RO",2009,39.7
"PC_GDP","S13","TE","RO",2010,39.4
"PC_GDP","S13","TE","RO",2011,37.9
"PC_GDP","S13","TE","RO",2012,36.1
"PC_GDP","S13","TE","RO",2013,35.8
"PC_GDP","S13","TE","RO",2014,35.6
"PC_GDP","S13","TE","RO",2015,35.9
"PC_GDP","S13","TE","RO",2016,34.8
"PC_GDP","S13","TE","RO",2017,33.6
"PC_GDP","S13","TE","RO",2018,34.6
"PC_GDP","S13","TE","RO",2019,36.3
"PC_GDP","S13","TE","RO",2020,41.7
"PC_GDP","S13","TE","RO",2021,40
"PC_GDP","S13","TE","RO",2022,40.9
"PC_GDP","S13","TE","RO",2023,41.1
"PC_GDP","S13","TE","RO",2024,43.3
"PC_GDP","S13","TE","RO",2025,43.3
"PC_GDP","S13","TE","SE",2008,50.4
"PC_GDP","S13","TE","SE",2009,52.8
"PC_GDP","S13","TE","SE",2010,50.9
"PC_GDP","S13","TE","SE",2011,50.2
"PC_GDP","S13","TE","SE",2012,51.4
"PC_GDP","S13","TE","SE",2013,52.5
"PC_GDP","S13","TE","SE",2014,51.8
"PC_GDP","S13","TE","SE",2015,50.4
"PC_GDP","S13","TE","SE",2016,50.5
"PC_GDP","S13","TE","SE",2017,50.3
"PC_GDP","S13","TE","SE",2018,50.9
"PC_GDP","S13","TE","SE",2019,49.8
"PC_GDP","S13","TE","SE",2020,53.1
"PC_GDP","S13","TE","SE",2021,50.4
"PC_GDP","S13","TE","SE",2022,49.4
"PC_GDP","S13","TE","SE",2023,50
"PC_GDP","S13","TE","SE",2024,50.5
"PC_GDP","S13","TE","SE",2025,49.9
"PC_GDP","S13","TE","SI",2008,45.2
"PC_GDP","S13","TE","SI",2009,50
"PC_GDP","S13","TE","SI",2010,50.7
"PC_GDP","S13","TE","SI",2011,51.4
"PC_GDP","S13","TE","SI",2012,50
"PC_GDP","S13","TE","SI",2013,57.7
"PC_GDP","S13","TE","SI",2014,50.6
"PC_GDP","S13","TE","SI",2015,49.5
"PC_GDP","S13","TE","SI",2016,46.9
"PC_GDP","S13","TE","SI",2017,44.6
"PC_GDP","S13","TE","SI",2018,44.1
"PC_GDP","S13","TE","SI",2019,43.8
"PC_GDP","S13","TE","SI",2020,51.8
"PC_GDP","S13","TE","SI",2021,49.9
"PC_GDP","S13","TE","SI",2022,47.7
"PC_GDP","S13","TE","SI",2023,46.5
"PC_GDP","S13","TE","SI",2024,46.5
"PC_GDP","S13","TE","SI",2025,49.6
"PC_GDP","S13","TE","SK",2008,36.5
"PC_GDP","S13","TE","SK",2009,43.2
"PC_GDP","S13","TE","SK",2010,41
"PC_GDP","S13","TE","SK",2011,40.8
"PC_GDP","S13","TE","SK",2012,40
"PC_GDP","S13","TE","SK",2013,41.1
"PC_GDP","S13","TE","SK",2014,42
"PC_GDP","S13","TE","SK",2015,44.1
"PC_GDP","S13","TE","SK",2016,40.9
"PC_GDP","S13","TE","SK",2017,39.8
"PC_GDP","S13","TE","SK",2018,39.7
"PC_GDP","S13","TE","SK",2019,40.6
"PC_GDP","S13","TE","SK",2020,44.5
"PC_GDP","S13","TE","SK",2021,44.8
"PC_GDP","S13","TE","SK",2022,43.1
"PC_GDP","S13","TE","SK",2023,48.4
"PC_GDP","S13","TE","SK",2024,47.4
"PC_GDP","S13","TE","SK",2025,47.9
