"unit","sector","na_item","geo","year","value"
"PC_GDP","S13","TR","AT",2008,48.8
"PC_GDP","S13","TR","AT",2009,49.2
"PC_GDP","S13","TR","AT",2010,48.9
"PC_GDP","S13","TR","AT",2011,48.9
"PC_GDP","S13","TR","AT",2012,49.6
"PC_GDP","S13","TR","AT",2013,50.4
"PC_GDP","S13","TR","AT",2014,50.5
"PC_GDP","S13","TR","AT",2015,50.7
"PC_GDP","S13","TR","AT",2016,49.2
"PC_GDP","S13","TR","AT",2017,49
"PC_GDP","S13","TR","AT",2018,49.4
"PC_GDP","S13","TR","AT",2019,49.6
"PC_GDP","S13","TR","AT",2020,49.1
"PC_GDP","S13","TR","AT",2021,50.3
"PC_GDP","S13","TR","AT",2022,49.6
"PC_GDP","S13","TR","AT",2023,49.7
"PC_GDP","S13","TR","AT",2024,50.6
"PC_GDP","S13","TR","AT",2025,51
"PC_GDP","S13","TR","BG",2008,38.5
"PC_GDP","S13","TR","BG",2009,34.8
"PC_GDP","S13","TR","BG",2010,32.5
"PC_GDP","S13","TR","BG",2011,32
"PC_GDP","S13","TR","BG",2012,33.5
"PC_GDP","S13","TR","BG",2013,37
"PC_GDP","S13","TR","BG",2014,37.8
"PC_GDP","S13","TR","BG",2015,38.5
"PC_GDP","S13","TR","BG",2016,35.1
"PC_GDP","S13","TR","BG",2017,36.4
"PC_GDP","S13","TR","BG",2018,38.8
"PC_GDP","S13","TR","BG",2019,38.7
"PC_GDP","S13","TR","BG",2020,37.6
"PC_GDP","S13","TR","BG",2021,37.6
"PC_GDP","S13","TR","BG",2022,38.4
"PC_GDP","S13","TR","BG",2023,36.9
"PC_GDP","S13","TR","BG",2024,36.1
"PC_GDP","S13","TR","BG",2025,38.1
"PC_GDP","S13","TR","CZ",2008,38.9
"PC_GDP","S13","TR","CZ",2009,39
"PC_GDP","S13","TR","CZ",2010,39.1
"PC_GDP","S13","TR","CZ",2011,40.1
"PC_GDP","S13","TR","CZ",2012,40.5
"PC_GDP","S13","TR","CZ",2013,41.1
"PC_GDP","S13","TR","CZ",2014,40.2
"PC_GDP","S13","TR","CZ",2015,41
"PC_GDP","S13","TR","CZ",2016,40.1
"PC_GDP","S13","TR","CZ",2017,39.9
"PC_GDP","S13","TR","CZ",2018,41
"PC_GDP","S13","TR","CZ",2019,40.7
"PC_GDP","S13","TR","CZ",2020,40.6
"PC_GDP","S13","TR","CZ",2021,40.1
"PC_GDP","S13","TR","CZ",2022,40.2
"PC_GDP","S13","TR","CZ",2023,40.3
"PC_GDP","S13","TR","CZ",2024,41.2
"PC_GDP","S13","TR","CZ",2025,41
"PC_GDP","S13","TR","DE",2008,44.2
"PC_GDP","S13","TR","DE",2009,45.1
"PC_GDP","S13","TR","DE",2010,43.7
"PC_GDP","S13","TR","DE",2011,44.4
"PC_GDP","S13","TR","DE",2012,45
"PC_GDP","S13","TR","DE",2013,45.3
"PC_GDP","S13","TR","DE",2014,45.2
"PC_GDP","S13","TR","DE",2015,45.4
"PC_GDP","S13","TR","DE",2016,45.9
"PC_GDP","S13","TR","DE",2017,45.9
"PC_GDP","S13","TR","DE",2018,46.5
"PC_GDP","S13","TR","DE",2019,46.9
"PC_GDP","S13","TR","DE",2020,46.7
"PC_GDP","S13","TR","DE",2021,47.5
"PC_GDP","S13","TR","DE",2022,46.7
"PC_GDP","S13","TR","DE",2023,45.7
"PC_GDP","S13","TR","DE",2024,46.8
