"unit","sector","na_item","geo","year","value","cofog99"
"PC_GDP","S13","TE","EU27_2020",2020,6,"GF01"
"PC_GDP","S13","TE","EU27_2020",2021,5.8,"GF01"
"PC_GDP","S13","TE","EU27_2020",2022,5.8,"GF01"
"PC_GDP","S13","TE","EU27_2020",2023,5.9,"GF01"
"PC_GDP","S13","TE","EU27_2020",2024,6.1,"GF01"
"PC_GDP","S13","TE","HR",2020,5.9,"GF01"
"PC_GDP","S13","TE","HR",2021,5.2,"GF01"
"PC_GDP","S13","TE","HR",2022,4.3,"GF01"
"PC_GDP","S13","TE","HR",2023,4.8,"GF01"
"PC_GDP","S13","TE","HR",2024,5.5,"GF01"
"PC_GDP","S13","TE","EU27_2020",2020,1.3,"GF02"
"PC_GDP","S13","TE","EU27_2020",2021,1.3,"GF02"
"PC_GDP","S13","TE","EU27_2020",2022,1.3,"GF02"
"PC_GDP","S13","TE","EU27_2020",2023,1.3,"GF02"
"PC_GDP","S13","TE","EU27_2020",2024,1.5,"GF02"
"PC_GDP","S13","TE","HR",2020,1.1,"GF02"
"PC_GDP","S13","TE","HR",2021,1,"GF02"
"PC_GDP","S13","TE","HR",2022,1,"GF02"
"PC_GDP","S13","TE","HR",2023,1.3,"GF02"
"PC_GDP","S13","TE","HR",2024,1.5,"GF02"
"PC_GDP","S13","TE","EU27_2020",2020,1.8,"GF03"
"PC_GDP","S13","TE","EU27_2020",2021,1.7,"GF03"
"PC_GDP","S13","TE","EU27_2020",2022,1.7,"GF03"
"PC_GDP","S13","TE","EU27_2020",2023,1.7,"GF03"
"PC_GDP","S13","TE","EU27_2020",2024,1.7,"GF03"
"PC_GDP","S13","TE","HR",2020,2.5,"GF03"
"PC_GDP","S13","TE","HR",2021,2.4,"GF03"
"PC_GDP","S13","TE","HR",2022,2.1,"GF03"
"PC_GDP","S13","TE","HR",2023,2.1,"GF03"
"PC_GDP","S13","TE","HR",2024,2.4,"GF03"
"PC_GDP","S13","TE","EU27_2020",2020,6.5,"GF04"
"PC_GDP","S13","TE","EU27_2020",2021,6.5,"GF04"
"PC_GDP","S13","TE","EU27_2020",2022,6,"GF04"
"PC_GDP","S13","TE","EU27_2020",2023,5.8,"GF04"
"PC_GDP","S13","TE","EU27_2020",2024,5.3,"GF04"
"PC_GDP","S13","TE","HR",2020,9.9,"GF04"
"PC_GDP","S13","TE","HR",2021,7.8,"GF04"
"PC_GDP","S13","TE","HR",2022,8,"GF04"
"PC_GDP","S13","TE","HR",2023,7.6,"GF04"
"PC_GDP","S13","TE","HR",2024,6.4,"GF04"
"PC_GDP","S13","TE","EU27_2020",2020,0.8,"GF05"
"PC_GDP","S13","TE","EU27_2020",2021,0.8,"GF05"
"PC_GDP","S13","TE","EU27_2020",2022,0.8,"GF05"
"PC_GDP","S13","TE","EU27_2020",2023,0.8,"GF05"
"PC_GDP","S13","TE","EU27_2020",2024,0.8,"GF05"
"PC_GDP","S13","TE","HR",2020,0.9,"GF05"
"PC_GDP","S13","TE","HR",2021,0.9,"GF05"
"PC_GDP","S13","TE","HR",2022,0.8,"GF05"
"PC_GDP","S13","TE","HR",2023,0.9,"GF05"
"PC_GDP","S13","TE","HR",2024,1.2,"GF05"
"PC_GDP","S13","TE","EU27_2020",2020,0.6,"GF06"
"PC_GDP","S13","TE","EU27_2020",2021,0.8,"GF06"
"PC_GDP","S13","TE","EU27_2020",2022,1,"GF06"
"PC_GDP","S13","TE","EU27_2020",2023,1.2,"GF06"
"PC_GDP","S13","TE","EU27_2020",2024,0.7,"GF06"
"PC_GDP","S13","TE","HR",2020,1.5,"GF06"
"PC_GDP","S13","TE","HR",2021,1.5,"GF06"
