"unit","sector","na_item","geo","year","value"
"PC_GDP","S13","D2REC","AT",2008,14
"PC_GDP","S13","D2REC","AT",2009,14.4
"PC_GDP","S13","D2REC","AT",2010,14.4
"PC_GDP","S13","D2REC","AT",2011,14.5
"PC_GDP","S13","D2REC","AT",2012,14.8
"PC_GDP","S13","D2REC","AT",2013,14.8
"PC_GDP","S13","D2REC","AT",2014,14.7
"PC_GDP","S13","D2REC","AT",2015,14.6
"PC_GDP","S13","D2REC","AT",2016,14.6
"PC_GDP","S13","D2REC","AT",2017,14.4
"PC_GDP","S13","D2REC","AT",2018,14.1
"PC_GDP","S13","D2REC","AT",2019,14.1
"PC_GDP","S13","D2REC","AT",2020,13.8
"PC_GDP","S13","D2REC","AT",2021,14.1
"PC_GDP","S13","D2REC","AT",2022,13.7
"PC_GDP","S13","D2REC","AT",2023,13.7
"PC_GDP","S13","D2REC","AT",2024,13.7
"PC_GDP","S13","D2REC","AT",2025,14
"PC_GDP","S13","D2REC","BG",2008,16.7
"PC_GDP","S13","D2REC","BG",2009,14.1
"PC_GDP","S13","D2REC","BG",2010,13.8
"PC_GDP","S13","D2REC","BG",2011,13.8
"PC_GDP","S13","D2REC","BG",2012,14.3
"PC_GDP","S13","D2REC","BG",2013,15.3
"PC_GDP","S13","D2REC","BG",2014,14.9
"PC_GDP","S13","D2REC","BG",2015,15.3
"PC_GDP","S13","D2REC","BG",2016,15.4
"PC_GDP","S13","D2REC","BG",2017,15.3
"PC_GDP","S13","D2REC","BG",2018,14.8
"PC_GDP","S13","D2REC","BG",2019,15.4
"PC_GDP","S13","D2REC","BG",2020,15
"PC_GDP","S13","D2REC","BG",2021,14.8
"PC_GDP","S13","D2REC","BG",2022,16.1
"PC_GDP","S13","D2REC","BG",2023,14.6
"PC_GDP","S13","D2REC","BG",2024,14.6
"PC_GDP","S13","D2REC","BG",2025,14.4
"PC_GDP","S13","D2REC","CZ",2008,10.3
"PC_GDP","S13","D2REC","CZ",2009,10.8
"PC_GDP","S13","D2REC","CZ",2010,10.9
"PC_GDP","S13","D2REC","CZ",2011,11.7
"PC_GDP","S13","D2REC","CZ",2012,12.2
"PC_GDP","S13","D2REC","CZ",2013,12.5
"PC_GDP","S13","D2REC","CZ",2014,11.7
"PC_GDP","S13","D2REC","CZ",2015,12.1
"PC_GDP","S13","D2REC","CZ",2016,12.1
"PC_GDP","S13","D2REC","CZ",2017,12.1
"PC_GDP","S13","D2REC","CZ",2018,11.8
"PC_GDP","S13","D2REC","CZ",2019,11.7
"PC_GDP","S13","D2REC","CZ",2020,11.2
"PC_GDP","S13","D2REC","CZ",2021,11.2
"PC_GDP","S13","D2REC","CZ",2022,11.1
"PC_GDP","S13","D2REC","CZ",2023,10.8
"PC_GDP","S13","D2REC","CZ",2024,10.9
